<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101102,000000,8417.2391600,8467.9454200,8411.7276100,8464.6384900,11754
20101103,000000,8478.9685200,8486.6846900,8295.9850600,8344.4867000,19587
20101104,000000,8506.5262700,8635.4965400,8506.5262700,8622.2688200,22994
20101105,000000,8723.6813400,8794.2291800,8698.3282100,8704.9420700,17169
20101107,000000,8732.5000000,8777.6900000,8672.9800000,8717.0700000,2829
20101108,000000,8698.3282100,8733.6021300,8676.2820100,8724.7836500,11291
20101109,000000,8865.8793300,8920.9948300,8847.1400600,8917.6879000,13789
20101110,000000,8773.2852900,8825.0938600,8689.5097300,8752.3414000,18412
20101111,000000,8915.4832800,8928.7110000,8861.4700900,8868.0839500,14584
20101112,000000,8738.0113700,8762.2621900,8573.7671800,8584.7902800,21447
20101114,000000,8570.4600000,8715.9700000,8487.7900000,8519.7500000,7891
20101115,000000,8594.7110700,8685.1004900,8593.6087600,8648.7242600,22248
20101116,000000,8481.1731400,8508.7308900,8125.1270100,8221.0279800,37812
20101117,000000,8097.5692600,8307.0081600,8094.2623300,8219.9256700,22861
20101118,000000,8392.9883400,8477.8662100,8319.1335700,8443.6946000,17673
20101119,000000,8495.5000000,8530.7800000,8354.4100000,8450.3100000,21654
20101121,000000,8478.9700000,8532.9800000,8428.2600000,8499.9100000,3536
20101122,000000,8499.9100000,8516.4500000,8165.9100000,8175.8300000,27844
20101123,000000,8175.8300000,8292.6800000,8061.1900000,8246.3800000,29699
20101124,000000,8245.2800000,8331.2600000,8176.9400000,8271.7300000,21209
20101125,000000,8272.8400000,8352.2000000,8164.8100000,8181.3400000,5823
20101126,000000,8183.5500000,8273.9400000,8147.1700000,8248.5900000,10860
20101128,000000,8269.5300000,8303.7000000,8159.3000000,8294.8800000,1423
20101129,000000,8294.8800000,8373.1500000,8185.7500000,8233.1500000,7593
20101130,000000,8240.8700000,8471.2500000,8240.8700000,8471.2500000,6411
20101201,000000,8471.2500000,8725.8900000,8448.1000000,8699.4300000,29420
20101202,000000,8761.1600000,8811.8700000,8669.6700000,8771.0800000,28789
20101203,000000,8772.1800000,8854.8600000,8698.3300000,8840.5300000,21860
20101205,000000,8861.4700000,8882.4100000,8787.6200000,8837.2200000,2678
20101206,000000,8833.9100000,8928.7100000,8762.2600000,8918.7900000,24554
20101207,000000,8917.6900000,9108.3900000,8820.6800000,8825.0900000,41422
20101208,000000,8825.0900000,9138.1500000,8769.9800000,9128.2300000,41490
20101209,000000,9130.4300000,9159.0900000,8940.8400000,9072.0100000,31089
20101210,000000,9072.0100000,9133.7400000,9001.4600000,9081.9300000,22717
20101212,000000,9066.5579050,9309.0676600,9037.8976610,9263.8726600,0
20101213,000000,9177.8300000,9309.0100000,9173.4200000,9277.0400000,21729
20101214,000000,9277.0400000,9323.3400000,9209.8000000,9232.9500000,22080
20101215,000000,9232.9500000,9232.9500000,9006.9800000,9074.2200000,31942
20101216,000000,9074.2200000,9241.7700000,8990.4400000,9183.3400000,27237
20101217,000000,9184.4500000,9213.1100000,9106.1800000,9195.4700000,17861
20101219,000000,9270.4300000,9311.2100000,9172.3200000,9227.4400000,4752
20101220,000000,9228.5400000,9310.1100000,9193.2700000,9305.7000000,21021
20101221,000000,9303.5000000,9472.1500000,9292.4700000,9402.7000000,25336
20101222,000000,9406.0100000,9455.6200000,9343.1800000,9375.1500000,16628
20101223,000000,9375.1500000,9408.2200000,9281.4500000,9391.6800000,14294
20101226,000000,9325.5400000,9476.5600000,9268.2200000,9456.7200000,3460
20101227,000000,9454.5100000,9496.4000000,9365.2300000,9477.6600000,8159
20101228,000000,9477.6600000,9557.0300000,9437.9800000,9515.1400000,11819
20101229,000000,9515.1400000,9625.3700000,9467.7400000,9620.9600000,13739
20101230,000000,9623.1700000,9724.5800000,9564.7400000,9720.1700000,15341
